Value;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
0;78;0;0;0;80;78;80;78;80;78;80;78;0;0;78;78;0;0;0;0;0
0.1;78;0;0;0;80;78;80;78;80;78;0;78;78;78;80;F8;0;0;0;0;0
0.2;78;0;0;0;80;78;80;78;80;78;0;80;0;78;80;78;F8;0;0;0;0
0.3;78;0;0;0;80;78;80;78;80;78;0;F8;0;78;F8;78;F8;0;0;0;0
0.4;78;0;0;0;80;78;80;78;80;78;0;0;0;78;0;80;F8;0;0;0;0
0.5;78;0;0;0;80;78;80;78;80;78;0;78;0;78;78;80;F8;0;0;0;0
0.6;78;0;0;0;80;78;80;78;80;78;0;80;0;78;80;80;F8;0;0;0;0
0.7;78;0;0;0;80;78;80;78;80;78;0;F8;0;78;F8;80;F8;0;0;0;0
0.8;78;0;0;0;80;78;80;78;80;78;0;0;0;78;0;78;0;0;0;0;0
0.9;78;0;0;0;80;78;80;78;80;78;0;78;0;78;78;78;0;0;0;0;0
1;78;0;0;0;80;78;80;78;80;78;78;0;78;78;80;F8;0;0;0;0;0
1.1;78;0;0;0;80;78;80;78;80;78;78;78;78;80;78;F8;0;0;0;0;0
1.2;78;0;0;0;80;78;80;78;80;78;78;80;0;78;F8;78;F8;0;0;0;0
1.3;78;0;0;0;80;78;80;78;80;78;78;F8;0;78;0;80;F8;0;0;0;0
1.4;78;0;0;0;80;78;80;78;80;78;78;0;0;78;78;80;F8;0;0;0;0
1.5;78;0;0;0;80;78;80;78;80;78;78;78;0;78;80;80;F8;0;0;0;0
1.6;78;0;0;0;80;78;80;78;80;78;78;80;0;78;F8;80;F8;0;0;0;0
1.7;78;0;0;0;80;78;80;78;80;78;78;F8;0;78;0;78;0;0;0;0;0
1.8;78;0;0;0;80;78;80;78;80;78;78;0;0;78;78;78;0;0;0;0;0
1.9;78;0;0;0;80;78;80;78;80;78;78;78;0;78;80;80;78;0;0;0;0
2;78;0;0;0;80;78;80;78;80;78;80;0;0;78;80;78;F8;0;0;0;0
2.1;78;0;0;0;80;78;80;78;80;78;80;0;78;78;F8;78;F8;0;0;0;0
2.2;78;0;0;0;80;78;80;78;80;78;80;0;80;0;78;0;80;F8;0;0;0
2.3;78;0;0;0;80;78;80;78;80;78;80;0;F8;0;78;78;80;F8;0;0;0
2.4;78;0;0;0;80;78;80;78;80;78;80;0;0;0;78;80;80;F8;0;0;0
2.5;78;0;0;0;80;78;80;78;80;78;80;0;78;0;78;F8;80;F8;0;0;0
2.6;78;0;0;0;80;78;80;78;80;78;80;0;80;0;78;0;78;0;0;0;0
2.7;78;0;0;0;80;78;80;78;80;78;80;0;F8;0;78;78;78;0;0;0;0
2.8;78;0;0;0;80;78;80;78;80;78;80;0;0;0;78;80;80;78;0;0;0
2.9;78;0;0;0;80;78;80;78;80;78;80;0;78;0;78;F8;80;78;0;0;0
3;78;0;0;0;80;78;80;78;80;78;F8;0;0;78;F8;78;F8;0;0;0;0
3.1;78;0;0;0;80;78;80;78;80;78;F8;0;78;78;0;80;F8;0;0;0;0
3.2;78;0;0;0;80;78;80;78;80;78;F8;0;80;0;78;78;80;F8;0;0;0
3.3;78;0;0;0;80;78;80;78;80;78;F8;0;F8;0;78;80;80;F8;0;0;0
3.4;78;0;0;0;80;78;80;78;80;78;F8;0;0;0;78;F8;80;F8;0;0;0
3.5;78;0;0;0;80;78;80;78;80;78;F8;0;78;0;78;0;78;0;0;0;0
3.6;78;0;0;0;80;78;80;78;80;78;F8;0;80;0;78;78;78;0;0;0;0
3.7;78;0;0;0;80;78;80;78;80;78;F8;0;F8;0;78;80;80;78;0;0;0
3.8;78;0;0;0;80;78;80;78;80;78;F8;0;78;0;78;0;78;F8;0;0;0
3.9;78;0;0;0;80;78;80;78;80;78;F8;0;78;0;78;0;78;F8;0;0;0
4;78;0;0;0;80;78;80;78;80;78;0;0;0;78;0;80;F8;0;0;0;0
4.1;78;0;0;0;80;78;80;78;80;78;0;0;78;78;78;80;F8;0;0;0;0
4.2;78;0;0;0;80;78;80;78;80;78;0;0;80;0;78;80;80;F8;0;0;0
4.3;78;0;0;0;80;78;80;78;80;78;0;0;F8;0;78;F8;80;F8;0;0;0
4.4;78;0;0;0;80;78;80;78;80;78;0;0;0;0;78;0;78;0;0;0;0
4.5;78;0;0;0;80;78;80;78;80;78;0;0;78;0;78;78;78;0;0;0;0
4.6;78;0;0;0;80;78;80;78;80;78;0;0;80;0;78;80;80;78;0;0;0
4.7;78;0;0;0;80;78;80;78;80;78;0;0;F8;0;78;F8;80;78;0;0;0
4.8;78;0;0;0;80;78;80;78;80;78;0;0;0;0;78;0;78;F8;0;0;0
4.9;78;0;0;0;80;78;80;78;80;78;0;0;78;0;78;78;78;F8;0;0;0
5;78;0;0;0;80;78;80;78;80;78;78;0;0;78;78;80;F8;0;0;0;0
5.1;78;0;0;0;80;78;80;78;80;78;78;0;78;78;80;80;F8;0;0;0;0
5.2;78;0;0;0;80;78;80;78;80;78;78;0;80;0;78;F8;80;F8;0;0;0
5.3;78;0;0;0;80;78;80;78;80;78;78;0;F8;0;78;0;78;0;0;0;0
5.4;78;0;0;0;80;78;80;78;80;78;78;0;0;0;78;78;78;0;0;0;0
5.5;78;0;0;0;80;78;80;78;80;78;78;0;78;0;78;80;80;78;0;0;0
5.6;78;0;0;0;80;78;80;78;80;78;78;0;80;0;78;F8;80;78;0;0;0
5.7;78;0;0;0;80;78;80;78;80;78;78;0;F8;0;78;0;78;F8;0;0;0
5.8;78;0;0;0;80;78;80;78;80;78;78;0;0;0;78;78;78;F8;0;0;0
5.9;78;0;0;0;80;78;80;78;80;78;78;0;78;0;78;80;78;F8;0;0;0
6;78;0;0;0;80;78;80;78;80;78;80;0;0;78;80;80;F8;0;0;0;0
6.1;78;0;0;0;80;78;80;78;80;78;80;0;78;78;F8;80;F8;0;0;0;0
6.2;78;0;0;0;80;78;80;78;80;78;80;0;80;0;78;0;78;0;0;0;0
6.3;78;0;0;0;80;78;80;78;80;78;80;0;F8;0;78;78;78;0;0;0;0
6.4;78;0;0;0;80;78;80;78;80;78;80;0;0;0;78;80;80;78;0;0;0
6.5;78;0;0;0;80;78;80;78;80;78;80;0;78;0;78;F8;80;78;0;0;0
6.6;78;0;0;0;80;78;80;78;80;78;80;0;80;0;78;0;78;F8;0;0;0
6.7;78;0;0;0;80;78;80;78;80;78;80;0;F8;0;78;78;78;F8;0;0;0
6.8;78;0;0;0;80;78;80;78;80;78;80;0;0;0;78;80;78;F8;0;0;0
6.9;78;0;0;0;80;78;80;78;80;78;80;0;78;0;78;F8;78;F8;0;0;0
7;78;0;0;0;80;78;80;78;80;78;F8;0;0;78;F8;80;F8;0;0;0;0
7.1;78;0;0;0;80;78;80;78;80;78;F8;0;78;78;0;78;0;0;0;0;0
7.2;78;0;0;0;80;78;80;78;80;78;F8;0;80;0;78;78;78;0;0;0;0
7.3;78;0;0;0;80;78;80;78;80;78;F8;0;F8;0;78;80;80;78;0;0;0
7.4;78;0;0;0;80;78;80;78;80;78;F8;0;0;0;78;F8;80;78;0;0;0
7.5;78;0;0;0;80;78;80;78;80;78;F8;0;78;0;78;0;78;F8;0;0;0
7.6;78;0;0;0;80;78;80;78;80;78;F8;0;80;0;78;78;78;F8;0;0;0
7.7;78;0;0;0;80;78;80;78;80;78;F8;0;F8;0;78;80;78;F8;0;0;0
7.8;78;0;0;0;80;78;80;78;80;78;F8;0;0;0;78;F8;78;F8;0;0;0
7.9;78;0;0;0;80;78;80;78;80;78;F8;0;78;0;78;0;78;0;0;0;0
8;78;0;0;0;80;78;80;78;80;78;0;0;0;78;0;78;0;0;0;0;0
8.1;78;0;0;0;80;78;80;78;80;78;0;0;78;78;78;78;0;0;0;0;0
8.2;78;0;0;0;80;78;80;78;80;78;0;0;80;0;78;80;80;78;0;0;0
8.3;78;0;0;0;80;78;80;78;80;78;0;0;F8;0;78;F8;80;78;0;0;0
8.4;78;0;0;0;80;78;80;78;80;78;0;0;0;0;78;0;78;F8;0;0;0
8.5;78;0;0;0;80;78;80;78;80;78;0;0;78;0;78;78;78;F8;0;0;0
8.6;78;0;0;0;80;78;80;78;80;78;0;0;80;0;78;80;78;F8;0;0;0
8.7;78;0;0;0;80;78;80;78;80;78;0;0;F8;0;78;F8;78;F8;0;0;0
8.8;78;0;0;0;80;78;80;78;80;78;0;0;0;0;78;0;78;0;0;0;0
8.9;78;0;0;0;80;78;80;78;80;78;0;0;78;0;78;78;78;0;0;0;0
9;78;0;0;0;80;78;80;78;80;78;78;0;0;78;78;78;0;0;0;0;0
9.1;78;0;0;0;80;78;80;78;80;78;78;0;78;78;80;80;78;0;0;0;0
9.2;78;0;0;0;80;78;80;78;80;78;78;0;80;0;78;F8;80;78;0;0;0
9.3;78;0;0;0;80;78;80;78;80;78;78;0;F8;0;78;0;78;F8;0;0;0
9.4;78;0;0;0;80;78;80;78;80;78;78;0;0;0;78;78;78;F8;0;0;0
9.5;78;0;0;0;80;78;80;78;80;78;78;0;78;0;78;80;78;F8;0;0;0
9.6;78;0;0;0;80;78;80;78;80;78;78;0;80;0;78;F8;78;F8;0;0;0
9.7;78;0;0;0;80;78;80;78;80;78;78;0;F8;0;78;0;78;0;0;0;0
9.8;78;0;0;0;80;78;80;78;80;78;78;0;0;0;78;78;78;0;0;0;0
9.9;78;0;0;0;80;78;80;78;80;78;78;0;78;0;78;80;F8;78;0;0;0
10;78;0;0;0;80;78;80;78;78;0;0;78;F8;80;0;0;0;0;0;0;0
10.1;78;0;0;0;80;78;80;78;78;0;78;78;0;F8;0;0;0;0;0;0;0
10.2;78;0;0;0;80;78;80;78;78;0;80;0;78;78;F8;0;0;0;0;0;0
10.3;78;0;0;0;80;78;80;78;78;0;F8;0;78;80;0;F8;0;0;0;0;0
10.4;78;0;0;0;80;78;80;78;78;0;0;0;78;F8;0;F8;0;0;0;0;0
10.5;78;0;0;0;80;78;80;78;78;0;78;0;78;0;0;F8;0;0;0;0;0
10.6;78;0;0;0;80;78;80;78;78;0;80;0;78;78;0;F8;0;0;0;0;0
10.7;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
10.8;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
10.9;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
11;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
11.1;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
11.2;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
11.3;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
11.4;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
11.5;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
11.6;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
11.7;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
11.8;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
11.9;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
12;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
12.1;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
12.2;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
12.3;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
12.4;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
12.5;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
12.6;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
12.7;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
12.8;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
12.9;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
13;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
13.1;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
13.2;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
13.3;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
13.4;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
13.5;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
13.6;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
13.7;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
13.8;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
13.9;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
14;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
14.1;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
14.2;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
14.3;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
14.4;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
14.5;78;0;0;0;80;78;80;78;78;0;;;;;;;;;0;0;0
